,Trip_Duration,Trip,Start_Coords,End_Coords,Median_Duration_Mins,Median_Unix_StartTime,Size,Public_Duration
1748,30.266666666666666,"41.90096039,-87.62377664|41.8810317,-87.62408432","41.90096039,-87.62377664","41.8810317,-87.62408432",28.825,1495503180,64,
2190,37.68333333333333,"41.911722,-87.626804|41.940775,-87.63919200000001","41.911722,-87.626804","41.940775,-87.63919200000001",22.96666666666667,1495887720,64,
601,28.98333333333333,"41.892278000000005,-87.612043|41.856268,-87.613348","41.892278000000005,-87.612043","41.856268,-87.613348",27.266666666666666,1495542000,63,
1450,26.466666666666665,"41.880958,-87.616743|41.87785,-87.62408","41.880958,-87.616743","41.87785,-87.62408",25.08333333333333,1495384440,63,
2969,36.73333333333333,"41.891020000000005,-87.6173|41.880958,-87.616743","41.891020000000005,-87.6173","41.880958,-87.616743",20.275,1495731360,62,
485,11.483333333333333,"41.884728,-87.61952099999999|41.86722596,-87.61535539","41.884728,-87.61952099999999","41.86722596,-87.61535539",27.10833333333333,1495499400,62,
153,15.333333333333336,"41.891738000000004,-87.626937|41.892278000000005,-87.612043","41.891738000000004,-87.626937","41.892278000000005,-87.612043",16.983333333333334,1495468860,61,
1396,35.266666666666666,"41.892278000000005,-87.612043|41.884728,-87.61952099999999","41.892278000000005,-87.612043","41.884728,-87.61952099999999",21.3,1495461960,61,
1907,20.633333333333333,"41.866095,-87.60726700000001|41.88504199,-87.61279454","41.866095,-87.60726700000001","41.88504199,-87.61279454",20.475,1495883460,60,
1264,19.53333333333333,"41.92675599,-87.63442879|41.892278000000005,-87.612043","41.92675599,-87.63442879","41.892278000000005,-87.612043",31.46666666666667,1495625610,60,
1296,5.35,"41.89858665,-87.62191523|41.892278000000005,-87.612043","41.89858665,-87.62191523","41.892278000000005,-87.612043",14.058333333333335,1495906650,60,
2747,1.9666666666666663,"41.940775,-87.63919200000001|41.940775,-87.63919200000001","41.940775,-87.63919200000001","41.940775,-87.63919200000001",45.475,1495840710,60,
55,117.1,"41.886024,-87.624117|41.886024,-87.624117","41.886024,-87.624117","41.886024,-87.624117",25.25,1495373370,60,
4,6.916666666666668,"41.87770796,-87.63532114|41.8810317,-87.62408432","41.87770796,-87.63532114","41.8810317,-87.62408432",14.15,1494775860,59,
975,12.55,"41.89257,-87.614492|41.911722,-87.626804","41.89257,-87.614492","41.911722,-87.626804",23.33333333333333,1495890540,59,
40,20.516666666666666,"41.880958,-87.616743|41.867888,-87.623041","41.880958,-87.616743","41.867888,-87.623041",20.08333333333333,1495465740,59,
1203,28.28333333333333,"41.88504199,-87.61279454|41.911722,-87.626804","41.88504199,-87.61279454","41.911722,-87.626804",28.03333333333333,1495737540,59,
132,14.15,"41.866095,-87.60726700000001|41.865312,-87.617867","41.866095,-87.60726700000001","41.865312,-87.617867",16.425,1495541820,58,
266,15.183333333333335,"41.890572999999996,-87.622072|41.892278000000005,-87.612043","41.890572999999996,-87.622072","41.892278000000005,-87.612043",18.108333333333334,1495592160,58,
2104,19.133333333333333,"41.880958,-87.616743|41.88389277,-87.62464914","41.880958,-87.616743","41.88389277,-87.62464914",21.058333333333334,1495736340,58,
505,23.66666666666667,"41.86722596,-87.61535539|41.872638,-87.623979","41.86722596,-87.61535539","41.872638,-87.623979",12.283333333333333,1495396920,57,
817,31.38333333333333,"41.856268,-87.613348|41.866095,-87.60726700000001","41.856268,-87.613348","41.866095,-87.60726700000001",15.55,1495377060,57,
1922,27.9,"41.892278000000005,-87.612043|41.89858665,-87.62191523","41.892278000000005,-87.612043","41.89858665,-87.62191523",16.766666666666666,1495373580,57,
1609,38.81666666666667,"41.926277,-87.630834|41.880958,-87.616743","41.926277,-87.630834","41.880958,-87.616743",27.65833333333333,1494766410,56,
1807,43.6,"41.926277,-87.630834|41.954383,-87.648043","41.926277,-87.630834","41.954383,-87.648043",24.725,1495372500,56,
2716,30.6,"41.891020000000005,-87.6173|41.926277,-87.630834","41.891020000000005,-87.6173","41.926277,-87.630834",29.425,1495381860,56,
2044,50.45,"41.79172821,-87.58394501|41.856268,-87.613348","41.79172821,-87.58394501","41.856268,-87.613348",40.175,1495638210,56,
530,37.65,"41.856268,-87.613348|41.79172821,-87.58394501","41.856268,-87.613348","41.79172821,-87.58394501",37.86666666666667,1495119060,55,
165,15.3,"41.880958,-87.616743|41.886875,-87.62603","41.880958,-87.616743","41.886875,-87.62603",24.13333333333333,1495311420,55,
385,51.45,"41.88389277,-87.62464914|41.88389277,-87.62464914","41.88389277,-87.62464914","41.88389277,-87.62464914",66.68333333333334,1495111380,55,
271,19.933333333333334,"41.892278000000005,-87.612043|41.911974,-87.63194200000001","41.892278000000005,-87.612043","41.911974,-87.63194200000001",24.0,1495448640,55,
192,18.08333333333333,"41.867888,-87.623041|41.866095,-87.60726700000001","41.867888,-87.623041","41.866095,-87.60726700000001",19.616666666666667,1494847920,55,
2421,19.35,"41.838556,-87.60821800000001|41.86722596,-87.61535539","41.838556,-87.60821800000001","41.86722596,-87.61535539",21.200000000000006,1495227570,54,
981,15.333333333333336,"41.918306,-87.636282|41.90096039,-87.62377664","41.918306,-87.636282","41.90096039,-87.62377664",22.88333333333333,1495476930,54,
1900,36.63333333333333,"41.93132,-87.63874200000001|41.892278000000005,-87.612043","41.93132,-87.63874200000001","41.892278000000005,-87.612043",30.566666666666666,1494702570,54,
316,21.766666666666666,"41.892278000000005,-87.612043|41.87785,-87.62408","41.892278000000005,-87.612043","41.87785,-87.62408",25.025,1494856410,54,
2449,9.233333333333333,"41.880958,-87.616743|41.89257,-87.614492","41.880958,-87.616743","41.89257,-87.614492",23.8,1494790560,53,
129,25.08333333333333,"41.891738000000004,-87.626937|41.891738000000004,-87.626937","41.891738000000004,-87.626937","41.891738000000004,-87.626937",45.6,1494933720,53,
140,7.066666666666666,"41.86722596,-87.61535539|41.867888,-87.623041","41.86722596,-87.61535539","41.867888,-87.623041",14.5,1495298640,53,
1138,26.05,"41.984036700000004,-87.65231047|41.940775,-87.63919200000001","41.984036700000004,-87.65231047","41.940775,-87.63919200000001",25.316666666666666,1495021560,53,
