,TO STATION NAME,Trip_Duration,Trip,Start_Coords,End_Coords,Median_Duration_Mins,Median_Unix_StartTime,Median_Age,Size,Public_Duration
12218,Streeter Dr & Grand Ave,5.183333333333334,"41.88504199,-87.61279454|41.892278000000005,-87.612043","41.88504199,-87.61279454","41.892278000000005,-87.612043",7.3583333333333325,1495390200,28.5,54,
594,Dearborn St & Erie St,12.466666666666667,"41.878534,-87.640978|41.893992,-87.62931800000001","41.878534,-87.640978","41.893992,-87.62931800000001",13.108333333333334,1494593430,61.0,54,
12672,Indiana Ave & Roosevelt Rd,12.083333333333336,"41.880958,-87.616743|41.867888,-87.623041","41.880958,-87.616743","41.867888,-87.623041",11.1,1495249800,34.0,54,
469,Dearborn Pkwy & Delaware Pl,6.583333333333332,"41.88602083,-87.63087606|41.898969,-87.629912","41.88602083,-87.63087606","41.898969,-87.629912",7.033333333333332,1494792210,35.0,54,
777,Clinton St & Washington Blvd,11.566666666666665,"41.898969,-87.629912|41.883379999999995,-87.64116999999999","41.898969,-87.629912","41.883379999999995,-87.64116999999999",10.775,1494595080,33.0,54,
2649,Clinton St & Washington Blvd,4.833333333333333,"41.878170000000004,-87.631985|41.883379999999995,-87.64116999999999","41.878170000000004,-87.631985","41.883379999999995,-87.64116999999999",5.866666666666666,1494946020,42.0,54,
1957,Clinton St & Madison St,9.666666666666666,"41.871736999999996,-87.65103|41.882242,-87.64106600000001","41.871736999999996,-87.65103","41.882242,-87.64106600000001",9.858333333333334,1494893640,27.0,54,
107,California Ave & Milwaukee Ave,5.7666666666666675,"41.91718375,-87.71035665|41.922695000000004,-87.697153","41.91718375,-87.71035665","41.922695000000004,-87.697153",6.708333333333334,1494917520,49.0,54,
2719,LaSalle St & Illinois St,12.016666666666667,"41.89186,-87.62062|41.890755,-87.632009","41.89186,-87.62062","41.890755,-87.632009",5.1,1495097490,39.0,54,
855,Dearborn St & Monroe St,4.95,"41.882242,-87.64106600000001|41.88131982,-87.62952092","41.882242,-87.64106600000001","41.88131982,-87.62952092",5.9,1494508200,33.0,54,
3151,Clinton St & Washington Blvd,6.2333333333333325,"41.884240999999996,-87.629634|41.883379999999995,-87.64116999999999","41.884240999999996,-87.629634","41.883379999999995,-87.64116999999999",5.958333333333334,1495102020,37.0,54,
226,Canal St & Monroe St (*),6.433333333333334,"41.88389277,-87.62464914|41.880884,-87.639525","41.88389277,-87.62464914","41.880884,-87.639525",6.95,1494607860,36.5,53,
1166,Cornell Ave & Hyde Park Blvd,3.283333333333333,"41.799568,-87.594747|41.802406,-87.586924","41.799568,-87.594747","41.802406,-87.586924",5.083333333333333,1494925860,31.0,53,
1681,University Ave & 57th St,7.65,"41.79949429,-87.5864499|41.791478000000005,-87.599861","41.79949429,-87.5864499","41.791478000000005,-87.599861",8.85,1494839280,27.0,53,
9368,Adler Planetarium,28.716666666666665,"41.880958,-87.616743|41.866095,-87.60726700000001","41.880958,-87.616743","41.866095,-87.60726700000001",16.666666666666668,1495394700,32.0,53,
