,trip,Median Duration (mins),Median time of day,public_duration
37,"40.686203000000006,-73.944694|40.6809833854,-73.9500479759",4.375,0 days 08:00:00.000000000,
38,"40.686312,-73.935775|40.69681963,-73.93756926",5.266666666666667,0 days 08:00:00.000000000,
39,"40.68650065,-73.96563307|40.68506807308177,-73.97790759801863",5.0,0 days 09:00:00.000000000,
40,"40.6867443,-73.99063168|40.68312489,-73.97895137",6.391666666666667,0 days 17:00:00.000000000,
41,"40.6867443,-73.99063168|40.6861758,-73.99645295",3.6333333333333333,0 days 18:00:00.000000000,
42,"40.6867443,-73.99063168|40.69089272,-73.99612349",4.683333333333334,0 days 17:00:00.000000000,
43,"40.686931,-74.016966|40.686931,-74.016966",29.533333333333335,0 days 13:00:00.000000000,
44,"40.686931,-74.016966|40.69231660719192,-74.01486575603484",14.833333333333334,0 days 15:00:00.000000000,
45,"40.68753406,-73.97265183|40.689888,-73.981013",3.6333333333333333,0 days 08:00:00.000000000,
46,"40.68764484,-73.96968902|40.68506807308177,-73.97790759801863",3.7333333333333334,0 days 08:00:00.000000000,
47,"40.68851534,-73.9647628|40.689888,-73.981013",6.016666666666667,0 days 09:00:00.000000000,
48,"40.68900443,-73.96023854|40.69363137,-73.96223558",3.033333333333333,0 days 18:00:00.000000000,
49,"40.68940747,-73.96885458|40.689888,-73.981013",3.8,0 days 08:00:00.000000000,
50,"40.68981035,-73.97493121|40.689888,-73.981013",2.225,0 days 09:00:00.000000000,
51,"40.689888,-73.981013|40.69308257,-73.97178913",5.808333333333334,0 days 18:00:00.000000000,
52,"40.689888,-73.981013|40.693261,-73.968896",7.758333333333334,0 days 18:00:00.000000000,
53,"40.69165183,-73.99997859999998|40.6859296,-74.00242364",3.65,0 days 16:00:00.000000000,
54,"40.69165183,-73.99997859999998|40.70277159,-73.99383605",7.883333333333334,0 days 12:00:00.000000000,
55,"40.6917823,-73.97372990000002|40.689888,-73.981013",3.8333333333333335,0 days 08:00:00.000000000,
56,"40.69196035,-73.96536851|40.689888,-73.981013",6.55,0 days 08:00:00.000000000,
57,"40.69196566,-73.9813018|40.69308257,-73.97178913",4.85,0 days 18:00:00.000000000,
58,"40.69196566,-73.9813018|40.693261,-73.968896",6.15,0 days 18:00:00.000000000,
59,"40.69196566,-73.9813018|40.69580705,-73.97355569",5.591666666666667,0 days 18:00:00.000000000,
60,"40.69231660719192,-74.01486575603484|40.68512559515415,-74.02535319328308",16.125,0 days 14:00:00.000000000,
61,"40.69231660719192,-74.01486575603484|40.686931,-74.016966",21.391666666666666,0 days 13:00:00.000000000,
62,"40.69231660719192,-74.01486575603484|40.69231660719192,-74.01486575603484",23.308333333333334,0 days 14:00:00.000000000,
63,"40.69236178,-73.98631746|40.68506807308177,-73.97790759801863",6.358333333333333,0 days 17:00:00.000000000,
64,"40.69239502,-73.99337909|40.6847514,-73.99917254",5.258333333333334,0 days 16:00:00.000000000,
65,"40.69308257,-73.97178913|40.689888,-73.981013",4.95,0 days 09:00:00.000000000,
66,"40.69308257,-73.97178913|40.69196566,-73.9813018",4.35,0 days 08:00:00.000000000,
67,"40.693261,-73.968896|40.689888,-73.981013",6.466666666666667,0 days 09:00:00.000000000,
68,"40.693261,-73.968896|40.69196566,-73.9813018",5.4,0 days 08:00:00.000000000,
69,"40.693261,-73.968896|40.69236178,-73.98631746",7.308333333333334,0 days 09:00:00.000000000,
70,"40.69512845,-73.99595065|40.69760127,-73.99344559",2.275,0 days 09:00:00.000000000,
71,"40.69573398,-73.97129668|40.69196566,-73.9813018",5.7,0 days 08:00:00.000000000,
72,"40.69580705,-73.97355569|40.69196566,-73.9813018",4.7,0 days 09:00:00.000000000,
73,"40.69681963,-73.93756926|40.6933982,-73.939877",2.7416666666666667,0 days 19:00:00.000000000,
74,"40.69760127,-73.99344559|40.6902375,-73.99203074",4.816666666666666,0 days 15:00:00.000000000,
75,"40.69760127,-73.99344559|40.69089272,-73.99612349",3.575,0 days 17:00:00.000000000,
76,"40.69760127,-73.99344559|40.69383,-73.990539",2.966666666666667,0 days 11:00:00.000000000,
77,"40.69760127,-73.99344559|40.69512845,-73.99595065",2.5833333333333335,0 days 18:00:00.000000000,
78,"40.69760127,-73.99344559|40.70277159,-73.99383605",3.6333333333333333,0 days 13:00:00.000000000,
79,"40.69795031569544,-73.97077560424805|40.70140317257725,-73.98672670125961",6.95,0 days 08:00:00.000000000,
80,"40.70122128,-74.01234218|40.70355377,-74.00670227",2.6083333333333334,0 days 15:00:00.000000000,
