,trip,bike_duration_mins,median_hour,frequency,public_duration_mins,start_coord,end_coord,distance,time_saved
89,"40.70569254,-74.01677685|40.70463334,-74.01361706",2.78,1531135800,140,5.38,"40.70569254,-74.01677685","40.70463334,-74.01361706",422,3.0
90,"40.70569254,-74.01677685|40.711512,-74.01575600000002",3.77,1531152000,220,8.82,"40.70569254,-74.01677685","40.711512,-74.01575600000002",730,5.0
91,"40.70569254,-74.01677685|40.7149787,-74.013012",6.02,1531144800,111,14.62,"40.70569254,-74.01677685","40.7149787,-74.013012",2086,9.0
92,"40.70569254,-74.01677685|40.7153379,-74.01658354",5.8,1531146600,212,11.58,"40.70569254,-74.01677685","40.7153379,-74.01658354",1870,6.0
93,"40.70569254,-74.01677685|40.71754834,-74.01322069",7.38,1531137600,230,16.47,"40.70569254,-74.01677685","40.71754834,-74.01322069",1928,9.0
94,"40.70823502,-74.00530063|40.711066,-74.009447",2.93,1531123200,114,7.0,"40.70823502,-74.00530063","40.711066,-74.009447",544,4.0
95,"40.70834698,-74.01713445|40.70463334,-74.01361706",4.23,1531130400,145,9.58,"40.70834698,-74.01713445","40.70463334,-74.01361706",766,5.0
96,"40.70834698,-74.01713445|40.70569254,-74.01677685",1.98,1531148400,105,4.38,"40.70834698,-74.01713445","40.70569254,-74.01677685",362,2.0
97,"40.70834698,-74.01713445|40.711512,-74.01575600000002",1.98,1531152000,371,3.33,"40.70834698,-74.01713445","40.711512,-74.01575600000002",376,1.0
98,"40.70834698,-74.01713445|40.7153379,-74.01658354",5.03,1531137600,234,8.65,"40.70834698,-74.01713445","40.7153379,-74.01658354",1345,4.0
99,"40.70834698,-74.01713445|40.71754834,-74.01322069",5.87,1531130400,206,15.48,"40.70834698,-74.01713445","40.71754834,-74.01322069",1241,10.0
100,"40.70877084,-73.95095259|40.71413311,-73.95234386",3.11,1531137600,110,8.47,"40.70877084,-73.95095259","40.71413311,-73.95234386",667,5.0
101,"40.70905623,-74.01043382|40.70255065,-74.0127234",3.7,1531123200,115,9.45,"40.70905623,-74.01043382","40.70255065,-74.0127234",1345,6.0
102,"40.70905623,-74.01043382|40.70355377,-74.00670227",4.63,1531139400,108,10.73,"40.70905623,-74.01043382","40.70355377,-74.00670227",883,6.0
103,"40.70905623,-74.01043382|40.70463334,-74.01361706",2.88,1531126800,164,4.63,"40.70905623,-74.01043382","40.70463334,-74.01361706",633,2.0
104,"40.70924826276157,-73.96063148975372|40.71044554,-73.96525063",2.2,1531155600,137,5.32,"40.70924826276157,-73.96063148975372","40.71044554,-73.96525063",417,3.0
105,"40.70924826276157,-73.96063148975372|40.71285887,-73.96590294",4.19,1531155600,140,9.4,"40.70924826276157,-73.96063148975372","40.71285887,-73.96590294",747,5.0
106,"40.71044554,-73.96525063|40.70924826276157,-73.96063148975372",2.07,1531123200,149,5.5,"40.71044554,-73.96525063","40.70924826276157,-73.96063148975372",417,3.0
107,"40.71044554,-73.96525063|40.71534825,-73.96024116",3.72,1531141200,122,9.88,"40.71044554,-73.96525063","40.71534825,-73.96024116",759,6.0
108,"40.71044554,-73.96525063|40.71745169,-73.95850939",4.58,1531130400,229,6.47,"40.71044554,-73.96525063","40.71745169,-73.95850939",1060,2.0
109,"40.711066,-74.009447|40.70463334,-74.01361706",4.12,1531126800,108,4.45,"40.711066,-74.009447","40.70463334,-74.01361706",853,0.0
110,"40.711512,-74.01575600000002|40.701907,-74.013942",6.97,1531141200,188,13.02,"40.711512,-74.01575600000002","40.701907,-74.013942",1395,6.0
111,"40.711512,-74.01575600000002|40.70355377,-74.00670227",8.62,1531155600,131,14.65,"40.711512,-74.01575600000002","40.70355377,-74.00670227",2324,6.0
112,"40.711512,-74.01575600000002|40.70463334,-74.01361706",6.22,1531130400,227,12.42,"40.711512,-74.01575600000002","40.70463334,-74.01361706",1136,6.0
113,"40.711512,-74.01575600000002|40.70569254,-74.01677685",3.93,1531152000,250,6.6,"40.711512,-74.01575600000002","40.70569254,-74.01677685",903,3.0
114,"40.711512,-74.01575600000002|40.70834698,-74.01713445",2.12,1531152000,321,3.5,"40.711512,-74.01575600000002","40.70834698,-74.01713445",414,1.0
115,"40.711512,-74.01575600000002|40.70905623,-74.01043382",3.98,1531130400,112,8.08,"40.711512,-74.01575600000002","40.70905623,-74.01043382",529,4.0
116,"40.711512,-74.01575600000002|40.71754834,-74.01322069",4.5,1531141200,188,10.67,"40.711512,-74.01575600000002","40.71754834,-74.01322069",854,6.0
117,"40.711512,-74.01575600000002|40.7277140777778,-74.01129573583603",9.3,1531148400,123,24.12,"40.711512,-74.01575600000002","40.7277140777778,-74.01129573583603",3796,15.0
118,"40.711512,-74.01575600000002|40.728846,-74.00859100000002",10.65,1531144800,145,19.03,"40.711512,-74.01575600000002","40.728846,-74.00859100000002",3396,8.0
119,"40.711512,-74.01575600000002|40.73291553,-74.00711384",12.96,1531155600,102,21.48,"40.711512,-74.01575600000002","40.73291553,-74.00711384",4095,9.0
120,"40.71260486,-73.96264403|40.71534825,-73.96024116",1.9,1531144800,113,4.73,"40.71260486,-73.96264403","40.71534825,-73.96024116",384,3.0
121,"40.71260486,-73.96264403|40.71745169,-73.95850939",2.8,1531130400,340,8.27,"40.71260486,-73.96264403","40.71745169,-73.95850939",677,5.0
122,"40.71273266,-74.0046073|40.71485150526252,-74.01122331619263",4.18,1531141200,121,9.8,"40.71273266,-74.0046073","40.71485150526252,-74.01122331619263",802,6.0
123,"40.71273266,-74.0046073|40.7149787,-74.013012",4.2,1531123200,102,11.33,"40.71273266,-74.0046073","40.7149787,-74.013012",935,7.0
124,"40.71273266,-74.0046073|40.71754834,-74.01322069",5.77,1531155600,113,12.18,"40.71273266,-74.0046073","40.71754834,-74.01322069",1299,6.0
125,"40.71285887,-73.96590294|40.70924826276157,-73.96063148975372",3.63,1531126800,204,9.6,"40.71285887,-73.96590294","40.70924826276157,-73.96063148975372",747,6.0
126,"40.71285887,-73.96590294|40.71534825,-73.96024116",3.72,1531137600,146,9.25,"40.71285887,-73.96590294","40.71534825,-73.96024116",723,6.0
127,"40.71285887,-73.96590294|40.71745169,-73.95850939",4.32,1531130400,501,8.08,"40.71285887,-73.96590294","40.71745169,-73.95850939",1024,4.0
128,"40.71285887,-73.96590294|40.7190095,-73.95852515",4.62,1531130400,148,13.03,"40.71285887,-73.96590294","40.7190095,-73.95852515",1022,8.0
129,"40.71291224,-74.01020234|40.717571,-74.005549",3.43,1531130400,137,9.27,"40.71291224,-74.01020234","40.717571,-74.005549",711,6.0
130,"40.71291224,-74.01020234|40.71939226,-74.00247214",5.06,1531126800,114,9.5,"40.71291224,-74.01020234","40.71939226,-74.00247214",1763,4.0
131,"40.71291224,-74.01020234|40.72019521437465,-74.0103006362915",5.13,1531123200,113,11.17,"40.71291224,-74.01020234","40.72019521437465,-74.0103006362915",894,6.0
132,"40.71291224,-74.01020234|40.72243797,-74.00566443",5.42,1531126800,272,8.48,"40.71291224,-74.01020234","40.72243797,-74.00566443",1326,3.0
133,"40.713126,-73.984844|40.71427487,-73.98990025",2.8,1531130400,125,7.42,"40.713126,-73.984844","40.71427487,-73.98990025",580,5.0
134,"40.71413089,-73.99704679999998|40.71427487,-73.98990025",4.22,1531144800,110,7.92,"40.71413089,-73.99704679999998","40.71427487,-73.98990025",612,4.0
135,"40.71413311,-73.95234386|40.71534825,-73.96024116",3.83,1531148400,118,9.42,"40.71413311,-73.95234386","40.71534825,-73.96024116",721,6.0
136,"40.714215,-73.981346|40.71427487,-73.98990025",3.88,1531141200,288,9.65,"40.714215,-73.981346","40.71427487,-73.98990025",765,6.0
137,"40.714215,-73.981346|40.7172274,-73.98802084",3.73,1531137600,199,9.53,"40.714215,-73.981346","40.7172274,-73.98802084",749,6.0
138,"40.714215,-73.981346|40.71893904,-73.99266288",5.58,1531137600,115,15.88,"40.714215,-73.981346","40.71893904,-73.99266288",1205,10.0
139,"40.71427487,-73.98990025|40.713126,-73.984844",3.12,1531152000,109,7.37,"40.71427487,-73.98990025","40.713126,-73.984844",580,4.0
140,"40.71427487,-73.98990025|40.71413089,-73.99704679999998",3.72,1531134000,144,8.07,"40.71427487,-73.98990025","40.71413089,-73.99704679999998",611,4.0
141,"40.71427487,-73.98990025|40.714215,-73.981346",3.78,1531152000,293,9.65,"40.71427487,-73.98990025","40.714215,-73.981346",765,6.0
142,"40.71427487,-73.98990025|40.71581550000001,-73.99422366",2.87,1531144800,119,5.83,"40.71427487,-73.98990025","40.71581550000001,-73.99422366",423,3.0
143,"40.71485150526252,-74.01122331619263|40.71273266,-74.0046073",4.23,1531152000,129,10.33,"40.71485150526252,-74.01122331619263","40.71273266,-74.0046073",802,6.0
144,"40.7149787,-74.013012|40.70569254,-74.01677685",6.62,1531148400,102,11.68,"40.7149787,-74.013012","40.70569254,-74.01677685",2113,5.0
145,"40.7149787,-74.013012|40.70834698,-74.01713445",5.68,1531150200,126,8.58,"40.7149787,-74.013012","40.70834698,-74.01713445",1624,3.0
